time,claremont_count,innaloo,kelmscott_count,myaree_count,northbridge_count,oconnor_count,scarbs_count,shenton_count,vic_count
12:59:54 2021/02/09,26,33,4,35,22,22,16,16,39
13:09:56 2021/02/09,29,30,6,41,18,23,17,20,39
13:19:59 2021/02/09,30,35,9,41,19,22,21,19,38
13:30:01 2021/02/09,28,43,9,41,21,30,22,19,33
13:40:04 2021/02/09,28,42,8,36,19,34,20,21,32
13:50:07 2021/02/09,27,46,8,36,15,32,21,20,31
14:00:10 2021/02/09,28,53,9,35,16,29,21,16,32
14:10:12 2021/02/09,36,60,13,32,15,29,21,14,33
14:20:15 2021/02/09,33,65,14,30,15,25,25,11,32
14:30:18 2021/02/09,34,64,11,29,10,22,25,15,34
14:40:23 2021/02/09,31,57,10,28,11,14,27,13,42
14:50:26 2021/02/09,31,61,9,25,11,12,29,13,36
15:00:28 2021/02/09,31,61,11,24,11,12,32,12,39
15:10:31 2021/02/09,29,62,9,26,11,16,33,12,36
15:20:34 2021/02/09,22,58,8,27,13,17,37,13,33
15:30:37 2021/02/09,28,54,9,24,12,28,39,12,33
15:40:39 2021/02/09,34,60,12,22,13,28,38,14,41
15:50:42 2021/02/09,47,66,17,26,16,31,36,16,38
16:00:44 2021/02/09,53,63,25,35,18,32,40,17,47
16:10:47 2021/02/09,61,63,26,43,18,34,42,27,46
16:20:50 2021/02/09,69,68,31,38,21,34,41,29,51
16:30:52 2021/02/09,77,75,30,41,24,30,47,31,53
16:40:54 2021/02/09,77,85,30,45,28,33,40,27,60
16:50:57 2021/02/09,81,88,31,53,29,46,41,33,61
17:01:00 2021/02/09,77,93,28,53,31,45,45,35,62
17:11:03 2021/02/09,67,87,19,45,29,50,41,30,56
17:21:05 2021/02/09,67,85,21,46,21,57,43,35,50
17:31:08 2021/02/09,74,101,25,48,23,59,42,44,56
17:41:11 2021/02/09,75,95,21,46,21,54,45,42,49
17:51:14 2021/02/09,73,101,23,54,18,48,49,38,49
18:01:16 2021/02/09,76,109,27,59,22,53,56,44,54
18:11:19 2021/02/09,73,91,26,50,21,40,51,41,54
18:21:22 2021/02/09,68,90,23,53,21,38,49,36,65
18:31:25 2021/02/09,70,82,27,56,21,40,49,31,68
18:41:27 2021/02/09,56,83,26,51,22,40,51,28,65
18:51:29 2021/02/09,61,73,23,38,23,40,47,26,60
19:01:32 2021/02/09,70,75,25,45,27,41,56,26,64
19:11:34 2021/02/09,64,58,18,39,22,40,39,14,43
19:21:36 2021/02/09,64,60,17,41,20,38,35,10,37
19:31:39 2021/02/09,65,67,18,38,21,34,35,11,38
19:41:41 2021/02/09,64,72,19,40,24,34,43,12,39
19:51:44 2021/02/09,53,56,17,37,19,24,30,12,33
20:01:47 2021/02/09,48,67,20,39,25,27,24,19,41
20:11:50 2021/02/09,46,68,23,39,26,24,22,20,49
20:21:53 2021/02/09,37,73,21,34,34,23,27,22,49
20:31:55 2021/02/09,35,72,18,31,34,25,26,20,45
20:41:58 2021/02/09,42,65,14,30,31,26,18,17,46
20:52:01 2021/02/09,35,54,14,28,30,32,15,18,44
21:02:04 2021/02/09,35,64,14,33,34,34,19,18,48
21:12:07 2021/02/09,32,46,8,21,21,26,16,7,31
21:22:09 2021/02/09,30,39,8,17,16,19,10,5,28
21:32:11 2021/02/09,32,39,11,17,16,25,11,5,31
21:42:14 2021/02/09,23,31,9,13,14,21,9,3,30
21:52:17 2021/02/09,21,36,7,14,13,13,8,1,30
22:02:19 2021/02/09,19,35,8,16,13,12,9,1,33
22:12:21 2021/02/09,15,26,5,9,13,9,4,1,27
22:22:24 2021/02/09,15,20,6,10,10,9,4,1,25
22:32:26 2021/02/09,12,17,4,10,11,3,3,1,25
22:42:29 2021/02/09,8,16,4,12,9,2,3,1,17
22:52:31 2021/02/09,8,10,4,11,8,4,4,,16
23:02:34 2021/02/09,8,11,4,11,9,4,4,,17
23:12:36 2021/02/09,4,7,2,8,5,5,3,,11
23:22:39 2021/02/09,4,7,2,9,6,5,4,,13
23:32:41 2021/02/09,2,7,4,8,6,5,3,,11
23:42:44 2021/02/09,2,7,4,7,5,6,3,,6
23:52:46 2021/02/09,3,5,4,3,5,4,2,,6
00:02:48 2021/02/10,1,5,4,3,5,3,1,,8
00:12:51 2021/02/10,1,6,5,4,3,4,1,,6
00:22:54 2021/02/10,1,7,5,4,2,4,,,5
00:32:56 2021/02/10,1,7,2,4,2,5,,,4
00:42:59 2021/02/10,1,4,1,4,1,4,,,5
00:53:01 2021/02/10,,5,1,4,1,5,,,5
01:03:04 2021/02/10,,4,1,3,,4,,,2
01:13:07 2021/02/10,,2,,2,,2,,,3
01:23:09 2021/02/10,1,1,1,1,,2,,,2
01:33:12 2021/02/10,1,2,1,,,2,,,2
01:43:15 2021/02/10,1,2,1,,,2,,,1
01:53:18 2021/02/10,1,1,1,,,1,,,1
02:03:21 2021/02/10,1,1,1,,,1,,,2
02:13:24 2021/02/10,1,1,1,,1,1,,,1
